

Kraj,Rok,Typ,BordelTyp,Hodnota
SK0103,2013,PROD_TONY,3,

SK0103,2013,PROD_TONY,4,

SK0103,2013,ODPAD_TONY_KM2,1,

SK0103,2013,ODPAD_TONY_KM2,2,

SK0103,2013,ODPAD_TONY_KM2,3,

SK0103,2013,ODPAD_TONY_KM2,4,

SK0103,2012,PROD_TONY,1,

SK0103,2012,PROD_TONY,2,

SK0103,2012,PROD_TONY,3,

SK0103,2012,PROD_TONY,4,

SK0103,2012,ODPAD_TONY_KM2,1,

SK0103,2012,ODPAD_TONY_KM2,2,

SK0103,2012,ODPAD_TONY_KM2,3,

SK0103,2012,ODPAD_TONY_KM2,4,

SK0103,2011,PROD_TONY,1,

SK0103,2011,PROD_TONY,2,

SK0103,2011,PROD_TONY,3,

SK0103,2011,PROD_TONY,4,

SK0103,2011,ODPAD_TONY_KM2,1,

SK0103,2011,ODPAD_TONY_KM2,2,

SK0103,2011,ODPAD_TONY_KM2,3,

SK0103,2011,ODPAD_TONY_KM2,4,

SK0103,2010,PROD_TONY,1,

SK0103,2010,PROD_TONY,2,

SK0103,2010,PROD_TONY,3,

SK0103,2010,PROD_TONY,4,

SK0103,2010,ODPAD_TONY_KM2,1,

SK0103,2010,ODPAD_TONY_KM2,2,

SK0103,2010,ODPAD_TONY_KM2,3,

SK0103,2010,ODPAD_TONY_KM2,4,

SK0103,2009,PROD_TONY,1,

SK0103,2009,PROD_TONY,2,

SK0103,2009,PROD_TONY,3,

SK0103,2009,PROD_TONY,4,

SK0103,2009,ODPAD_TONY_KM2,1,

SK0103,2009,ODPAD_TONY_KM2,2,

SK0103,2009,ODPAD_TONY_KM2,3,

SK0103,2009,ODPAD_TONY_KM2,4,

SK0103,2008,PROD_TONY,1,

SK0103,2008,PROD_TONY,2,

SK0103,2008,PROD_TONY,3,

SK0103,2008,PROD_TONY,4,

SK0103,2008,ODPAD_TONY_KM2,1,

SK0103,2008,ODPAD_TONY_KM2,2,

SK0103,2008,ODPAD_TONY_KM2,3,

SK0103,2008,ODPAD_TONY_KM2,4,

SK0103,2007,PROD_TONY,1,

SK0103,2007,PROD_TONY,2,

SK0103,2007,PROD_TONY,3,

SK0103,2007,PROD_TONY,4,

SK0103,2007,ODPAD_TONY_KM2,1,

SK0103,2007,ODPAD_TONY_KM2,2,

SK0103,2007,ODPAD_TONY_KM2,3,

SK0103,2007,ODPAD_TONY_KM2,4,

SK0103,2006,PROD_TONY,1,

SK0103,2006,PROD_TONY,2,

SK0103,2006,PROD_TONY,3,

SK0103,2006,PROD_TONY,4,

SK0103,2006,ODPAD_TONY_KM2,1,

SK0103,2006,ODPAD_TONY_KM2,2,

SK0103,2006,ODPAD_TONY_KM2,3,

SK0103,2006,ODPAD_TONY_KM2,4,

SK0103,2005,PROD_TONY,1,

SK0103,2005,PROD_TONY,2,

SK0103,2005,PROD_TONY,3,

SK0103,2005,PROD_TONY,4,

SK0103,2005,ODPAD_TONY_KM2,1,

SK0103,2005,ODPAD_TONY_KM2,2,

SK0103,2005,ODPAD_TONY_KM2,3,

SK0103,2005,ODPAD_TONY_KM2,4,

SK0103,2004,PROD_TONY,1,

SK0103,2004,PROD_TONY,2,

SK0103,2004,PROD_TONY,3,

SK0103,2004,PROD_TONY,4,

SK0103,2004,ODPAD_TONY_KM2,1,

SK0103,2004,ODPAD_TONY_KM2,2,

SK0103,2004,ODPAD_TONY_KM2,3,

SK0103,2004,ODPAD_TONY_KM2,4,

SK0103,2003,PROD_TONY,1,

SK0103,2003,PROD_TONY,2,

SK0103,2003,PROD_TONY,3,

SK0103,2003,PROD_TONY,4,

SK0103,2003,ODPAD_TONY_KM2,1,

SK0103,2003,ODPAD_TONY_KM2,2,

SK0103,2003,ODPAD_TONY_KM2,3,

